country,continent,ranking,year,total,antidiscriminationLegislation,marriageCivilPartnership,adoptionAllowed,lgbtMarketing,equalAgeOfConsent,religiousInfluence,hivTravelRestrictions,antiGayLaws,homosexualityIllegal,prideBanned,localsHostile,prosecution,murders,deathSentence,transGenderRights,intersex3RdOption,conversionTherapy,longName
Afghanistan,Asia,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,0,-2,-1,NA,NA,NA,Afghanistan
Albania,Europe,55,2015,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA,Albania
Algeria,Africa,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,NA,NA,NA,Algeria
Andorra,Europe,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Andorra
Angola,Africa,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Angola
Antigua & Barbuda,Americas,104,2015,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,NA,NA,NA,Antigua and Barbuda
Argentina,Americas,22,2015,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Argentina
Armenia,Asia,77,2015,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Armenia
Aruba,Americas,43,2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Aruba
Australia,Oceania,22,2015,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Australia
Austria,Europe,22,2015,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Austria
Azerbaijan,Asia,77,2015,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Azerbaijan
The Bahamas,Americas,141,2015,-6,0,0,0,0,0,-1,0,-1,0,0,-2,0,-2,0,NA,NA,NA,The Bahamas
Bahrain,Asia,122,2015,-5,0,0,0,0,0,-2,0,0,0,0,-2,-1,0,0,NA,NA,NA,Bahrain
Bangladesh,Asia,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,NA,NA,NA,Bangladesh
Barbados,Americas,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Barbados
Belarus,Europe,122,2015,-5,0,0,0,0,1,-1,-1,-1,0,-1,-2,0,0,0,NA,NA,NA,Belarus
Belgium,Europe,3,2015,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Belgium
Belize,Americas,122,2015,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,NA,NA,NA,Belize
Benin,Africa,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Benin
Bhutan,Asia,141,2015,-6,0,0,0,0,0,-2,-1,-1,-1,0,-1,0,0,0,NA,NA,NA,Bhutan
Bolivia,Americas,43,2015,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Bolivia
Bosnia and Herzegovina,Europe,43,2015,1,2,0,0,0,1,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Bosnia and Herzegovina
Botswana,Africa,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Botswana
Brazil,Americas,18,2015,5,1,2,1,1,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Brazil
British Virgin Islands,Americas,55,2015,0,3,0,0,0,1,-2,0,-1,0,0,-1,0,0,0,NA,NA,NA,British Virgin Islands
Brunei,Asia,141,2015,-6,0,0,0,0,0,-2,-1,-1,-1,0,-1,0,0,0,NA,NA,NA,Brunei
Bulgaria,Europe,40,2015,2,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Bulgaria
Burundi,Africa,122,2015,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,NA,NA,NA,Burundi
Cape Verde,Africa,90,2015,-2,1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,NA,NA,NA,Cape Verde
Cambodia,Asia,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Cambodia
Cameroon,Africa,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,NA,NA,NA,Cameroon
Canada,Americas,3,2015,8,3,2,2,1,1,0,-1,0,0,0,0,0,0,0,NA,NA,NA,Canada
Central African Rep.,Africa,141,2015,-6,0,0,0,0,0,-2,0,-1,-1,0,-2,0,0,0,NA,NA,NA,Central African Republic
Chad,Africa,104,2015,-4,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,NA,NA,NA,Chad
Chile,Americas,77,2015,-1,1,1,0,0,0,-1,0,0,0,0,0,0,-2,0,NA,NA,NA,Chile
China incl. Hong Kong,Asia,55,2015,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,People's Republic of China
