year,ranking,country,total,antidiscriminationLegislation,marriageCivilPartnership,adoptionAllowed,transgenderRights,intersex3RdOption,equalAgeOfConsent,conversionTherapy,lgbtMarketing,religiousInfluence,hivTravelRestrictions,antiGayLaws,homosexualityIllegal,prideBanned,localsHostile,prosecution,murders,deathSentence
2023,1,Malta,13,2,2,2,3,2,0,1,2,0,0,0,0,0,-1,0,0,0
2023,2,Canada,12,3,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0
2023,2,Switzerland,12,3,2,2,3,-1,0,1,2,0,0,0,0,0,0,0,0,0
2023,4,Australia,11,2,2,2,2,1,0,0,2,0,-1,0,0,0,1,0,0,0
2023,4,Denmark,11,2,2,2,3,1,0,-1,1,0,0,0,0,0,1,0,0,0
2023,4,New Zealand,11,2,2,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0
2023,4,Portugal,11,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Uruguay,11,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,-1,0
2023,9,Germany,10,2,2,2,1,2,0,1,1,0,0,0,0,0,-1,0,0,0
2023,9,Iceland,10,2,2,2,3,1,0,-1,0,0,0,0,0,0,1,0,0,0
2023,9,Spain,10,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
2023,9,United Kingdom,10,3,2,2,2,-1,0,0,1,0,0,0,0,0,1,0,0,0
2023,13,Argentina,9,1,2,2,3,1,0,1,1,-1,0,0,0,0,0,0,-1,0
2023,13,Austria,9,2,2,2,2,1,0,-1,1,0,0,0,0,0,0,0,0,0
2023,13,Colombia,9,2,2,2,3,1,0,-1,1,0,0,0,0,0,0,0,-1,0
2023,13,Taiwan,9,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2023,17,Belgium,8,2,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0
2023,17,France,8,2,2,2,2,-1,0,1,0,0,0,0,0,0,0,0,0,0
2023,17,Greenland,8,1,2,2,3,1,0,-1,0,0,0,0,0,0,0,0,0,0
2023,17,Ireland,8,2,2,2,3,-1,0,-1,0,0,0,0,0,0,1,0,0,0
2023,17,Norway,8,2,2,2,3,-1,0,-1,0,0,0,0,0,0,1,0,0,0
2023,17,Reunion,8,2,2,2,2,-1,0,1,0,0,0,0,0,0,0,0,0,0
2023,17,Sweden,8,3,2,2,1,-1,0,-1,1,0,0,0,0,0,1,0,0,0
2023,24,Andorra,7,3,2,2,3,-1,0,-1,0,0,0,0,-1,0,0,0,0,0
2023,24,French Polynesia,7,2,2,2,2,-1,0,1,0,-1,0,0,0,0,0,0,0,0
2023,24,Luxembourg,7,2,2,3,2,-1,0,-1,0,0,0,0,0,0,0,0,0,0
2023,24,Netherlands,7,2,2,2,2,0,0,-1,0,0,0,0,0,0,0,0,0,0
2023,24,New Caledonia,7,2,2,2,2,-1,0,1,0,0,0,0,0,0,-1,0,0,0
2023,29,Chile,6,2,2,2,3,1,-1,-1,0,-1,0,0,0,0,0,0,-1,0
2023,29,Cuba,6,3,2,2,2,-1,0,-1,0,0,-1,0,0,0,0,0,0,0
2023,29,Finland,6,3,2,2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0
2023,29,Guadeloupe,6,2,2,2,2,-1,0,1,0,-1,0,0,0,0,-1,0,0,0
2023,29,Israel,6,2,1,1,2,-1,0,1,1,-1,0,0,0,0,0,0,0,0
2023,29,Martinique,6,2,2,2,2,-1,0,1,0,-1,0,0,0,0,-1,0,0,0
2023,35,Brazil,5,2,2,2,3,-1,0,1,0,-1,0,0,0,0,-1,0,-2,0
2023,35,Costa Rica,5,2,2,2,3,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0
2023,35,Greece,5,2,1,0,2,1,0,1,0,-1,0,0,0,0,0,0,-1,0
2023,35,Mexico,5,3,2,1,2,0,0,0,1,-1,0,0,0,0,-1,0,-2,0
2023,35,Puerto Rico,5,1,2,2,2,0,0,1,1,-1,0,0,0,0,-1,0,-2,0
2023,35,Slovenia,5,3,2,2,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0
2023,35,South Africa,5,3,2,2,1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0
2023,35,USA,5,1,2,2,0,0,0,0,2,-1,0,0,0,0,0,0,-1,0
2023,43,Ecuador,4,3,2,0,2,-1,0,1,0,-1,0,0,0,0,-1,0,-1,0
2023,43,India,4,2,1,0,1,1,0,0,0,-1,0,0,0,1,-1,0,0,0
2023,45,Gibraltar,3,2,2,2,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0
2023,45,Guam,3,1,2,2,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0
2023,47,Estonia,2,2,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0
2023,48,Croatia,1,2,1,2,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0
2023,48,Czech Republic,1,2,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0
2023,48,San Marino,1,3,1,1,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0
2023,51,Bermuda,0,1,2,2,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0
2023,51,Italy,0,1,1,0,1,-1,0,-1,1,-1,0,0,0,0,-1,0,0,0
2023,51,Liechtenstein,0,1,1,1,-1,-1,0,-1,0,-1,0,0,0,0,1,0,0,0
2023,51,Thailand,0,2,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0
2023,51,Virgin Islands,0,1,2,2,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0
2023,56,Bhutan,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
2023,56,Bosnia-Herzegovina,-1,2,-1,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0
2023,56,Latvia,-1,1,1,0,1,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0
2023,56,Montenegro,-1,2,1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0
2023,56,Nepal,-1,3,-1,0,0,1,0,-1,0,-1,0,-1,0,0,-1,0,0,0
